Engine Model,Aviator,Black V, Limited VI,Black VII,Big Bore X R55
O470R66B,-18,8,25,50,0
O470S2B,-19,7,24,49,0
O470U12B,-19,2,20,43,0
GTSIO520D24B,-12,7,16,28,0
GTSIO520H5B,-12,8,16,29,0
GTSIO520L8B,-20,-1,7,19,0
GTSIO520M2B,-18,2,12,25,0
IO240B28B,-17,-2,12,29,0
IO360CB8B,0,5,20,40,0
IO360DB33B,0,4,19,39,0
IO360ES2B,-29,-9,4,19,0
IO360GB5B,0,4,19,39,0
IO360HB9B,0,4,19,39,0
IO360JB4B,0,1,16,37,0
IO360KB6B,0,2,17,37,0
IO470L26B,-19,1,17,37,0
IO470N20B,-16,6,22,43,0
IO470U4B,-16,6,23,44,0
IO470V06B,-15,6,22,44,0
IO520A38B,-15,5,21,41,0
IO520BB51B,-23,-2,12,31,0
IO520CB9B,-21,1,16,35,0
IO520D22B,-19,0,15,36,0
IO520E16B,-13,6,21,40,0
IO520F17B,-19,4,20,40,0
IO520J1B,-19,2,18,39,0
IO520K2B,-21,-1,15,34,0
IO520L7B,-22,-1,14,34,0
IO520MB1B,-20,1,16,36,0
IO550A5B,-13,5,20,40,53
IO550B89B,-16,3,17,36,49
IO550C66B,-28,-12,0,16,26
IO550D35B,-30,-12,1,16,27
IO550E1B,-17,5,20,38,51
IO550F33B,-31,-13,0,15,26
IO550G7B,-30,-9,3,18,28
IO550L18B,-30,-14,-2,10,21
IO550N46B,-30,-10,2,17,28
IO550P5B,-19,4,17,34,0
IO550R14B,-19,4,17,34,0
IOF240B5B,-17,5,20,39,0
LTSIO360EB16B,-23,-9,4,20,0
LTSIO360KB15B,-23,-3,9,25,0
LTSIO360RB5B,-18,-3,6,19,0
LTSIO520AE3B,-9,8,22,39,0
TSIO360EB7B,-27,-14,-2,14,0
TSIO360FB17B,-27,-14,-2,13,0
TSIO360HB1B,0,-6,9,27,0
TSIO360JB1B,-11,12,26,45,0
TSIO360KB32B,-28,-10,2,16,0
TSIO360LB1B,-21,-2,11,26,0
TSIO360MB2B,-22,-4,6,18,0
TSIO360RB2B,-20,-5,4,16,0
TSIO360SB2B,-21,-6,3,16,0
TSIO520AE3B,-9,8,22,39,0
TSIO520AF3B,-12,7,21,39,0
TSIO520BB12B,-16,5,19,36,0
TSIO520BE2G,-10,6,15,25,0
TSIO520C2B,-7,13,28,70,0
TSIO520CE1F,-17,0,14,50,0
TSIO520EB5B,-21,3,17,34,0
TSIO520G5B,-13,6,21,39,0
TSIO520H4B,-8,12,28,69,0
TSIO520JB13B,-12,2,13,27,0
TSIO520KB4B,-12,3,15,31,0
TSIO520LB6B,-29,-13,-4,7,0
TSIO520M7B,-11,14,29,47,0
TSIO520NB18B,-21,0,11,25,0
TSIO520P5B,-14,10,24,42,0
TSIO520R9B,-13,12,26,44,0
TSIO520T1B,-12,4,16,31,0
TSIO520UB19B,-38,-24,-15,-4,0
TSIO520VB10F,-16,5,18,35,0
TSIO520WB3F,-29,-12,-4,7,0
TSIO550B1B,-19,-6,1,11,0
TSIO550C14B,-22,-8,-1,9,0
TSIO550E18B,-21,-7,1,11,0
TSIO550G5B,-15,-1,6,16,0
TSIO550K1B,-16,-2,5,15,0
TSIO550N1B,-21,-6,4,16,0
