Engine Model,Rebuilt,Aviator,Black V,Limited VI,Black VII,Big Bore X R55
O470R66B,35867,29249,38871,44871,53871,0
O470S2B,36214,29249,38871,44871,53871,0
O470U12B,38236,30891,38816,45816,54816,0
GTSIO520D24B,72168,63606,77389,83389,92389,0
GTSIO520H5B,69042,60606,74389,80389,89389,0
GTSIO520L8B,74324,59606,73389,79389,88389,0
GTSIO520M2B,71277,58606,72389,79839,88839,0
IO240B28B,35866,29687,35197,40197,46197,0
IO360CB8B,44717,0,46762,53762,62762,0
IO360DB33B,45074,0,46762,53762,62762,0
IO360ES2B,53144,37805,48279,55279,63279,0
IO360GB5B,45074,0,46762,53762,62762,0
IO360HB9B,45911,0,47762,54762,63762,0
IO360JB4B,44673,0,45003,52004,61003,0
IO360KB6B,46058,0,47003,54003,63003,0
IO470L26B,44386,35798,45003,52003,61003,0
IO470N20B,42551,35798,45003,52003,61003,0
IO470U4B,42034,35400,44600,51600,60600,0
IO470V06B,42486,36000,45003,52003,61003,0
IO520A38B,44693,38000,47003,54003,63003,0
IO520BB51B,48203,37249,47204,54204,63204,0
IO520CB9B,46232,36535,46490,53490,62490,0
IO520D22B,44129,35860,43924,50924,59924,0
IO520E16B,46567,40637,49321,56321,65321,0
IO520F17B,43818,35587,45452,52452,61452,0
IO520J1B,43925,35798,45003,52003,61003,0
IO520K2B,45578,35882,45245,52245,61245,0
IO520L7B,45761,35877,45336,52336,61336,0
IO520MB1B,45705,36543,45934,52934,61934,0
IO550A5B,46775,40637,49321,56321,65321,71720
IO550B89B,48103,40637,49321,56321,65321,71720
IO550C66B,57293,41249,50239,57239,66239,72238
IO550D35B,56763,39827,50078,57078,66078,72077
IO550E1B,47716,39827,50078,57078,66078,72077
IO550F33B,57358,39827,50078,57078,66078,72077
IO550G7B,59471,41753,54341,61341,70341,76340
IO550L18B,57529,40089,49411,56411,63411,69410
IO550N46B,58926,41124,53076,60076,69076,75221
IO550P5B,52555,42541,54512,61512,70512,0
IO550R14B,52556,42713,54593,61593,70593,0
IOF240B5B,47912,40000,50200,57400,66400,0
LTSIO360EB16B,55266,42512,50231,57231,66231,0
LTSIO360KB15B,56335,43373,54597,61597,70597,0
LTSIO360RB5B,73374,59877,71101,78101,87101,0
LTSIO520AE3B,51342,46474,55482,62482,71482,0
TSIO360EB7B,58206,42512,50231,57231,66231,0
TSIO360FB17B,59688,43499,51216,58216,67216,0
TSIO360HB1B,48109,0,45286,52286,61286,0
TSIO360JB1B,48814,43373,54597,61597,70597,0
TSIO360KB32B,60660,43373,54597,61597,70597,0
TSIO360LB1B,57524,45383,56606,63606,72606,0
TSIO360MB2B,70386,54629,67286,74286,83286,0
TSIO360RB2B,75033,59877,71101,78101,87101,0
TSIO360SB2B,74167,58522,69745,76745,85745,0
TSIO520AE3B,51342,46474,55482,62482,71482,0
TSIO520AF3B,49870,44104,53237,60237,69237,0
TSIO520BB12B,51719,43361,54386,61386,70386,0
TSIO520BE2G,83744,75780,89036,96026,105026,0
TSIO520C2B,45677,42491,51692,58692,77692,0
TSIO520CE1F,52051,42991,52192,59192,78192,0
TSIO520EB5B,51552,40691,53231,60231,69231,0
TSIO520G5B,48054,41712,50953,57953,66953,0
TSIO520H4B,46002,42491,51692,58692,77692,0
TSIO520JB13B,62921,55581,64166,71166,80166,0
TSIO520KB4B,57184,50239,58970,65970,74970,0
TSIO520LB6B,81383,57736,70775,77775,86775,0
TSIO520M7B,48401,42938,55355,62355,71355,0
TSIO520NB18B,63393,50356,63177,70177,79177,0
TSIO520P5B,50217,42938,55355,62355,71355,0
TSIO520R9B,49495,42938,55355,62355,71355,0
TSIO520T1B,57421,50689,59496,66496,75496,0
TSIO520UB19B,78426,48481,59506,66506,75506,0
TSIO520VB10F,53440,44938,55910,62910,71910,0
TSIO520WB3F,80835,57736,70775,77775,86775,0
TSIO550B1B,96358,77662,90544,97554,106544,0
TSIO550C14B,91423,71043,83925,90925,99925,0
TSIO550E18B,89974,71043,83925,90925,99925,0
TSIO550G5B,91812,77622,90544,97554,106554,0
TSIO550K1B,92749,77622,90544,97554,106554,0
TSIO550N1B,73695,58300,69500,76500,85500,0
