Engine Model,Aviator,Black V,Limited,XR Black
O-235-C1,0,1,18,39
O-235-C1B,0,-9,7,28
O-235-C2A,0,0,16,37
O-235-C2C,0,-2,14,34
O-235-F2B,0,-11,6,27
O-235-H2C,0,-1,15,36
O-235-J2A,0,-4,12,32
O-235-K2B,0,1,18,39
O-235-K2C,0,1,18,39
O-235-L2A,0,-2,15,35
O-235-L2C,0,-13,4,24
O-235-N2C,0,-1,16,37
AEIO-320-D1B,0,-15,-2,14
AEIO-320-D2B,0,-17,-4,11
AEIO-320-E1B,0,-15,-2,15
AEIO-320-E2B,0,-14,-1,15
IO-320-B1A,0,-23,-10,5
IO-320-D1B,0,-17,-3,14
IO-320-E1B,0,-16,-2,15
IO-320-E2A,0,-16,-2,15
IO-320-E2B,0,-16,-2,15
LIO-320-B1A,0,-19,-5,11
O-320-A2B,0,-17,-1,18
O-320-A2C,0,-17,-1,18
O-320-A2D,0,-16,1,20
O-320-A3A,0,-18,-1,17
O-320-A3B,0,-13,5,24
O-320-B1A,0,-17,0,18
O-320-B2A,0,-16,1,20
O-320-B2B,0,-17,0,18
O-320-B2C,0,-17,-1,18
O-320-B2D,0,-15,2,22
O-320-B3B,0,-16,1,20
O-320-D1A,0,-18,-2,17
O-320-D1D,0,-17,0,18
O-320-D1F,0,-17,-1,17
O-320-D2A,0,-18,-2,17
O-320-D2B,0,-15,1,20
O-320-D2G,0,-15,2,21
O-320-D2J,0,-14,4,23
O-320-D3G ,0,-25,-10,7
O-320-E2C,0,-18,-2,17
O-320-E2D,0,-16,1,19
O-320-E2F,0,-15,1,20
O-320-E2G,0,-15,2,21
O-320-E3D,0,-15,2,22
O-320-H2AD,0,-12,2,20
AEIO-360-A1A,0,-5,7,21
AEIO-360-A1B,0,-6,6,21
AEIO-360-A1B6,0,-8,4,18
AEIO-360-A1D,0,-3,9,24
AEIO-360-A1E,0,-6,6,21
AEIO-360-A2C,0,-18,-7,6
AEIO-360-B1B,0,-5,8,23
AEIO-360-B1F,0,-10,2,16
AEIO-360-B1G6,0,-5,7,22
AEIO-360-B1H,0,-5,7,22
AEIO-360-B2F,0,-1,12,27
AEIO-360-B4A,0,-3,9,24
AEIO-360-H1B,0,-8,4,19
HIO-360-A1A,0,-2,8,21
HIO-360-B1A,0,-2,9,22
HIO-360-C1A,0,-9,1,15
HIO-360-C1B,0,-2,10,23
HIO-360-D1A,0,-4,7,21
HIO-360-E1AD,0,-8,3,17
HIO-360-E1BD,0,-8,3,16
HIO-360-F1AD,0,-9,2,15
HIO-360-G1A,0,0,14,31
HO-360-C1A,0,-2,12,28
IO-360-A1A,0,-12,0,15
IO-360-A1B,0,-5,8,24
IO-360-A1B6,0,-6,7,23
IO-360-A1B6D,0,-8,4,19
IO-360-A1D,0,-6,7,23
IO-360-A1D6,0,-6,7,22
IO-360-A2B,0,-2,11,27
IO-360-A3B6,0,-7,6,21
IO-360-A3B6D,0,-9,3,17
IO-360-B1B,0,-19,-6,11
IO-360-B1E,0,-17,-3,14
IO-360-B1F,0,-19,-5,12
IO-360-B1F6,0,-2,11,27
IO-360-B1G6,0,-2,11,26
IO-360-C1C,0,-7,6,22
IO-360-C1C6,0,-6,6,21
IO-360-C1D6,0,-7,5,19
IO-360-C1E6,0,-2,11,26
IO-360-C1F,0,-11,1,16
IO-360-C1G6,0,-2,9,23
IO-360-L2A,0,-16,-3,14
IO-360-M1A,0,-2,12,29
IO-360-M1B,0,-13,1,18
LIO-360-C1E6,0,-6,6,44
LIO-360-M1A,0,-17,-4,13
LO-360-A1G6D,0,-12,2,19
LO-360-A1H6,0,-8,6,24
LO-360-E1A6D,0,-13,0,17
LTO-360-E1A6D,0,-17,-8,3
O-360-A1A,0,-15,0,19
O-360-A1AD,0,-16,-2,16
O-360-A1D,0,-17,-2,17
O-360-A1F6D,0,-16,-2,15
O-360-A1G6D,0,-17,-3,14
O-360-A1H6,0,-16,-1,17
O-360-A1P,0,-17,-1,18
O-360-A2A,0,-17,-2,17
O-360-A2F,0,-2,14,34
O-360-A2G,0,-2,14,33
O-360-A3A,0,-2,14,33
O-360-A3AD,0,-2,13,32
O-360-A4A,0,-2,15,35
O-360-A4G,0,-2,14,34
O-360-A4J,0,-2,14,34
O-360-A4K,0,-15,0,20
O-360-A4M,0,-14,1,21
O-360-A4N,0,-2,14,33
O-360-A4P,0,-2,14,34
O-360-A5AD,0,-2,15,35
O-360-C1E,0,-2,14,33
O-360-C1F,0,-15,0,19
O-360-C1G,0,-16,0,19
O-360-C2A,0,-2,14,34
O-360-C2E,0,-2,14,33
O-360-C4F,0,-2,14,32
O-360-C4P,0,-2,14,34
O-360-E1A6D,0,-9,5,22
O-360-F1A6,0,-16,-1,17
O-360-J2A,0,-7,8,27
TIO-360-C1A6D,0,-16,-9,0
TO-360-C1A6D,0,-17,-9,1
TO-360-E1A6D,0,-17,-8,3
AEIO-390-A1B6,0,-2,9,22
IO-390-A1A6,0,-2,10,24
IO-390-A3A6,0,-1,10,24
IO-390-A1B6,0,-2,9,23
AEIO-540-D4A5,-30,-11,1,17
AEIO-540-D4B5,-27,-7,6,22
AEIO-540-D4D5,-31,-14,-2,13
AEIO-540-L1B5,-29,-3,9,24
AEIO-540-L1B5D,-30,-4,7,22
AEIO-540-L1D5,-30,-1,11,26
IO-540-AA1A5,-29,0,12,26
IO-540-AA1B5,-21,12,25,41
IO-540-AB1A5,-31,-9,4,20
IO-540-AC1A5,-29,-10,1,15
IO-540-AE1A5,-29,-4,7,21
IO-540-C1B5,-29,-8,6,23
IO-540-C4B5,-30,-8,5,23
