Engine Model,Rebuilt Engine MSRP,New Engine MSRP,Aviator,Black V,Limited,XR Black
O-235-C1,31282,51543,0,31594,36894,43444
O-235-C1B,31913,52227,0,28998,34298,40848
O-235-C2A,31733,52245,0,31594,36894,43444
O-235-C2C,32327,52965,0,31594,36894,43444
O-235-F2B,31607,52093,0,28243,33543,40093
O-235-H2C,32012,52583,0,31594,36894,43444
O-235-J2A,32911,51674,0,31594,36894,43444
O-235-K2B,31338,52001,0,31594,36894,43444
O-235-K2C,31341,52004,0,31594,36894,43444
O-235-L2A,32170,52516,0,31594,36894,43444
O-235-L2C,32254,52276,0,28170,33470,40070
O-235-N2C,31816,52583,0,31594,36894,43444
AEIO-320-D1B,40495,64814,0,34285,39585,46135
AEIO-320-D2B,41419,65931,0,34285,39585,46135
AEIO-320-E1B,40260,64530,0,34285,39585,46135
AEIO-320-E2B,40040,64365,0,34285,39585,46135
IO-320-B1A,41087,63392,0,31482,36782,43332
IO-320-D1B,38071,61979,0,31482,36782,43332
IO-320-E1B,37638,61455,0,31482,36782,43332
IO-320-E2A,37539,61334,0,31482,36782,43332
IO-320-E2B,37602,61410,0,31482,36782,43332
LIO-320-B1A,38894,62977,0,31482,36782,43332
O-320-A2B,33925,56477,0,28170,33740,40070
O-320-A2C,34048,56627,0,28170,33740,40070
O-320-A2D,33489,55947,0,28170,33740,40070
O-320-A3A,34201,56812,0,28170,33740,40070
O-320-A3B,32276,54474,0,28170,33740,40070
O-320-B1A,33903,56450,0,28170,33740,40070
O-320-B2A,33480,55937,0,28170,33740,40070
O-320-B2B,33868,56408,0,28170,33740,40070
O-320-B2C,33954,56217,0,28269,33569,40119
O-320-B2D,32965,55311,0,28170,33740,40070
O-320-B3B,33420,55864,0,28170,33740,40070
O-320-D1A,34394,57047,0,28170,33740,40070
O-320-D1D,33869,56409,0,28170,33740,40070
O-320-D1F,34113,56705,0,28170,33740,40070
O-320-D2A,34317,56953,0,28170,33740,40070
O-320-D2B,33273,55685,0,28170,33740,40070
O-320-D2G,33073,55442,0,28170,33740,40070
O-320-D2J,32594,54893,0,28170,33740,40070
O-320-D3G ,37466,62371,0,28170,33740,40070
O-320-E2C,34264,56889,0,28170,33740,40070
O-320-E2D,33561,56035,0,28170,33740,40070
O-320-E2F,33330,55754,0,28170,33740,40070
O-320-E2G,33052,54816,0,28170,33740,40070
O-320-E3D,32955,55298,0,28170,33740,40070
O-320-H2AD,36623,59492,0,32074,37374,43974
AEIO-360-A1A,43993,71573,0,41583,46883,53433
AEIO-360-A1B,44093,71694,0,41583,46883,53433
AEIO-360-A1B6,45237,73077,0,41583,46883,53433
AEIO-360-A1D,43022,70399,0,41583,46883,53433
AEIO-360-A1E,44239,71869,0,41583,46883,53433
AEIO-360-A2C,50644,79614,0,41583,46883,53433
AEIO-360-B1B,43593,71089,0,41583,46883,53433
AEIO-360-B1F,46013,74586,0,41583,46883,53433
AEIO-360-B1G6,43908,71470,0,41583,46883,53433
AEIO-360-B1H,43886,71444,0,41583,46883,53433
AEIO-360-B2F,42018,69186,0,41583,46883,53433
AEIO-360-B4A,42970,70335,0,41583,46883,53433
AEIO-360-H1B,45050,72938,0,41583,46883,53433
HIO-360-A1A,53372,82912,0,52518,57818,64368
HIO-360-B1A,49479,78205,0,48687,53987,60537
HIO-360-C1A,50195,78939,0,45638,50938,57538
HIO-360-C1B,47644,75987,0,46882,52182,58732
HIO-360-D1A,46856,74447,0,44898,50198,56748
HIO-360-E1AD,48608,77153,0,44911,50211,56761
HIO-360-E1BD,48930,77690,0,44911,50211,56761
HIO-360-F1AD,49456,78178,0,44911,50211,56761
HIO-360-G1A,37812,64100,0,37758,43058,49608
HO-360-C1A,39658,63802,0,39023,44323,50873
IO-360-A1A,43527,70448,0,38202,43502,50052
IO-360-A1B,40361,66619,0,38202,43502,50052
IO-360-A1B6,41697,69592,0,39297,44597,51147
IO-360-A1B6D,44764,71954,0,41281,46581,53131
IO-360-A1D,40518,66822,0,38124,43424,49974
IO-360-A1D6,42026,68645,0,39585,44885,51435
IO-360-A2B,41823,68399,0,41153,46453,53003
IO-360-A3B6,42244,68908,0,39443,44743,51293
IO-360-A3B6D,46361,73885,0,42304,47604,54154
IO-360-B1B,39500,65680,0,31840,37140,43690
IO-360-B1E,38480,64444,0,31840,37140,43690
IO-360-B1F,39180,65292,0,31840,37140,43690
IO-360-B1F6,41262,67709,0,40602,45902,52452
IO-360-B1G6,42456,70524,0,41776,47076,53626
IO-360-C1C,41063,67468,0,38243,43543,50093
IO-360-C1C6,43561,70489,0,40904,46204,52754
IO-360-C1D6,44149,71245,0,40904,46204,52754
IO-360-C1E6,42896,69777,0,42209,47509,54059
IO-360-C1F,43595,70531,0,38870,44170,50720
IO-360-C1G6,48682,75852,0,47903,53203,59753
IO-360-L2A,39154,65212,0,32778,38078,44628
IO-360-M1A,38672,64784,0,38033,43333,49883
IO-360-M1B,37805,64242,0,32778,38078,44628
LIO-360-C1E6,43604,70653,0,40820,46120,62670
LIO-360-M1A,39618,65832,0,32778,38078,44628
LO-360-A1G6D,38936,63028,0,34308,39608,46158
LO-360-A1H6,37183,60903,0,34157,39457,46007
LO-360-E1A6D,39452,63414,0,34308,39608,46158
LTO-360-E1A6D,59070,90072,0,48835,54135,60685
O-360-A1A,34076,57224,0,28829,34129,40679
O-360-A1AD,36572,60845,0,30623,35923,42473
O-360-A1D,34819,58125,0,28735,34035,40585
O-360-A1F6D,37561,61458,0,31394,36694,43244
O-360-A1G6D,37843,61800,0,31394,36694,43244
O-360-A1H6,35875,59409,0,30074,35374,41924
O-360-A1P,34323,56975,0,28583,33883,40433
O-360-A2A,34808,58112,0,28829,34129,40679
O-360-A2F,33575,56615,0,33038,38338,44888
O-360-A2G,33996,57126,0,33452,38752,45302
O-360-A3A,33825,56918,0,33284,38584,45134
O-360-A3AD,35451,58892,0,34884,40184,46734
O-360-A4A,32773,55399,0,32248,37548,44098
O-360-A4G,33490,56511,0,32954,38254,44804
O-360-A4J,33380,56378,0,32846,38146,44696
O-360-A4K,33863,56966,0,28640,33940,40490
O-360-A4M,33878,56981,0,28981,34281,40834
O-360-A4N,33955,57075,0,33412,38712,45262
O-360-A4P,33656,56713,0,33117,38417,44967
O-360-A5AD,31980,54677,0,31380,36681,43231
O-360-C1E,34085,57233,0,33540,38840,45390
O-360-C1F,34255,57440,0,28981,34281,40834
O-360-C1G,34296,57483,0,28883,34183,40733
O-360-C2A,33677,56738,0,33138,38438,44988
O-360-C2E,33909,57020,0,33366,38666,45216
O-360-C4F,35014,58738,0,34454,39754,46304
O-360-C4P,33245,56345,0,32713,38013,44563
O-360-E1A6D,38393,62468,0,35007,40307,46857
O-360-F1A6,35813,59333,0,30117,35417,41967
O-360-J2A,34188,55937,0,31656,36956,43506
TIO-360-C1A6D,73780,108263,0,62031,67331,73881
TO-360-C1A6D,64275,96773,0,53311,58611,65161
TO-360-E1A6D,58762,90110,0,48787,54087,60637
AEIO-390-A1B6,49356,77420,0,48566,53866,60416
IO-390-A1A6,46734,73147,0,45986,51286,57836
IO-390-A3A6,46659,72981,0,45986,51286,57836
IO-390-A1B6,47152,73809,0,45986,51286,57836
AEIO-540-D4A5,56642,90439,39414,50303,57303,66303
AEIO-540-D4B5,54249,87545,39414,50303,57303,66303
AEIO-540-D4D5,61339,96117,42126,53014,60014,69014
AEIO-540-L1B5,59786,98456,42216,57960,64960,73960
AEIO-540-L1B5D,61434,100449,42864,58699,65699,74699
AEIO-540-L1D5,59809,98485,41646,59359,66359,75359
IO-540-AA1A5,61924,96825,43775,62230,69230,78230
IO-540-AA1B5,55455,89003,43775,62230,69230,78230
IO-540-AB1A5,56093,89775,38586,51320,58320,67320
IO-540-AC1A5,64894,100414,46086,58613,65613,74613
IO-540-AE1A5,62789,96881,44447,60281,67281,76281
IO-540-C1B5,50996,83879,36062,46944,53944,62944
IO-540-C4B5,51216,83880,36062,46944,53944,62944
IO-540-C4D5,55414,84599,36062,46944,53944,62944
IO-540-C4D5D,54299,86285,36982,47870,54870,63870
IO-540-D4A5,50799,83375,36062,46944,53944,62944
IO-540-D4B5,52170,85032,36062,46944,53944,62944
IO-540-AF1A5,55399,86049,38703,54512,61512,70512
IO-540-G1D5,59191,93520,41646,59359,66359,75359
IO-540-J4A5,55414,88954,38703,50898,57898,66898
IO-540-K1A5,61267,99370,41992,57826,64826,73826
IO-540-K1A5D,61778,96648,43661,59495,66495,75495
IO-540-K1B5,60276,94832,41951,57785,64785,71785
IO-540-K1D5,60143,94670,41951,59180,66180,75180
IO-540-K1E5,59974,94466,41951,57785,64785,71785
IO-540-K1F5,60933,95627,43002,58836,65826,74836
IO-540-K1G5,59136,93453,40115,55949,62949,71949
IO-540-K1G5D,60225,94771,42285,57929,64939,73939
IO-540-K1J5,58867,93128,41403,57237,59237,68237
IO-540-K1J5D,59760,94207,42088,57922,64922,73922
IO-540-K1K5,57452,91417,40088,56533,63533,72533
IO-540-K2A5,59747,95722,40088,58791,65791,74791
IO-540-L1B5D,61975,96886,43000,60984,67984,76984
IO-540-L1C5,60241,94790,42464,58298,65298,74298
IO-540-M1A5,61707,98675,41752,55405,62405,71405
IO-540-M1B5D,62510,97532,43801,57461,64461,73461
IO-540-M1C5,61960,97621,43801,60968,67968,76984
IO-540-N1A5,56775,90599,39763,50557,57557,56557
IO-540-R1A5,59034,92185,41523,53728,60728,69728
IO-540-S1A5,61628,96467,43544,61262,68262,77262
IO-540-T4A5D,57866,91919,38915,49803,56803,65803
IO-540-T4B5,52382,85288,38915,49803,56803,65803
IO-540-T4B5D,54353,87672,38915,49803,56803,65803
IO-540-V4A5,56364,90569,38317,49205,56205,65205
IO-540-W1A5,50022,82437,34503,47237,54237,63237
IO-540-W1A5D,53775,86973,37426,50161,57161,66161
LTIO-540-F2BD,79970,123597,50094,63357,70357,79357
LTIO-540-J2B,77048,120415,49533,62797,69797,78797
LTIO-540-J2BD,77632,121219,49533,62797,69797,78797
LTIO-540-U2A,73017,113989,45652,64128,71128,80128
O-540-A1A5,43564,71254,30034,40993,47993,56993
O-540-A1B5,43770,71504,30034,40993,47993,56993
O-540-A4B5,45304,73438,30034,40993,47993,56993
O-540-A1C5,43855,71607,30034,40993,47993,56993
O-540-A1D5,43866,71619,30034,40993,47993,56993
O-540-A4D5,44992,72980,30034,40993,47993,56993
O-540-A4E5,45206,73336,30034,40993,47993,56993
O-540-B1A5,43851,73570,30034,40993,47993,56993
O-540-B2B5,45220,75224,30761,41651,48561,57651
O-540-B2C5,47896,78407,32851,43739,50739,59739
O-540-B4B5,44949,74897,30761,41651,48561,57651
O-540-E4A5,44170,73950,30034,40993,47993,56993
O-540-E4B5,44273,74080,29678,40385,47385,56385
O-540-E4C5,44404,74238,29678,40385,47385,56385
O-540-F1B5,46242,76044,31290,44553,51553,60553
O-540-G1A5,46826,77166,32012,42901,49901,58901
O-540-H2A5,46826,77165,32012,42901,49901,58901
O-540-J1A5D,45008,74968,31800,45400,52400,60288
O-540-J3A5D,45596,75679,31964,45608,52608,60608
O-540-L3C5D,50163,86570,34612,47562,54562,63542
TIO-540-A2B,77766,121356,52906,61889,69889,78889
TIO-540-A2C,77744,127107,52906,61889,69889,78889
TIO-540-AA1AD,108781,157477,73850,87066,94066,103066
TIO-540-AB1AD,77224,120701,49267,61895,68895,77895
TIO-540-AB1BD,72218,114648,45368,56940,63940,72940
TIO-540-AE2A,110257,160635,75001,83401,90401,97401
TIO-540-AF1B,79333,123251,50911,68705,75705,84705
TIO-540-AG1A,74479,117962,47129,58768,65768,74768
TIO-540-AH1A,92321,138951,61020,78606,85606,94606
TIO-540-AJ1A,98087,145794,65861,78552,85552,94552
TIO-540-AK1A,76166,119506,48505,61743,68743,77743
TIO-540-C1A,83363,128123,54050,67024,74024,83024
TIO-540-F2BD,78284,122400,50094,63357,70357,79357
TIO-540-J2BD,77565,122024,49533,62797,69797,78797
AEIO-580-B1A,68248,106775,0,63990,70990,79990
IO-720-A1B,95107,171405,71763,92586,99586,108586
IO-720-B1B,90257,166133,71763,87168,94168,103168
IO-720-D1B,96959,174236,71763,92586,99586,108586
IO-720-D1C,93993,170650,71763,92586,99586,108586
